Day,HR (bpm)
0,127.1532
1,127.2877
2,127.4222
3,127.5567
4,128.9468
5,130.3369
6,131.727
7,133.1891
8,134.6512
9,136.1133
10,137.1481571
11,138.1830143
12,139.2178714
13,139.7353
14,140.1383124
15,140.5413249
16,140.9443373
17,141.3473498
18,141.7503622
19,142.1533746
20,142.5563871
21,142.8083016
22,143.0602161
23,143.3121306
24,143.564045
25,143.8159595
26,144.067874
27,144.3197885
28,144.571703
29,144.5996367
30,144.6275704
31,144.6555042
32,144.6834379
33,144.7113716
34,144.7393053
35,144.7672391
36,144.7951728
37,144.8231065
38,144.8510402
39,144.8789739
40,144.9069077
41,144.9348414
42,144.9627751
43,144.9907088
44,145.0186426
45,145.0465763
46,144.9466792
47,144.846782
48,144.7468849
49,144.6469878
50,144.5470907
51,144.4471935
52,144.3472964
53,144.2473993
54,144.1536274
55,144.0598555
56,143.9660836
57,143.8723118
58,143.7785399
59,143.684768
60,143.5909961
61,143.4972242
62,143.4892057
63,143.4811872
64,143.4731687
65,143.4651502
66,143.4571317
67,143.4491132
68,143.4410947
69,143.4330762
70,143.4250577
71,143.3743853
72,143.3237128
73,143.2730404
74,143.2223679
75,143.1716955
76,143.121023
77,143.0703506
78,143.0196781
79,142.973349
80,142.9270199
81,142.8806908
82,142.8343617
83,142.7880326
84,142.7417035
85,142.6953744
86,142.6490453
87,142.5181672
88,142.387289
89,142.2564109
90,142.1255328
91,142.0819832
92,142.0384337
93,141.9948841
94,141.9513345
95,141.907785
96,141.8642354
97,141.8206858
98,141.7771363
99,141.7335867
100,141.6900371
101,141.6464876
102,141.602938
103,141.5593884
104,141.5158389
105,141.4722893
106,141.4287397
107,141.3851902
108,141.3416406
109,141.298091
110,141.2545415
111,141.2109919
112,141.1674423
113,141.1238928
114,141.0803432
115,141.0367936
116,140.993244
117,140.9496945
118,140.9061449
119,140.8625953
120,140.8190458
121,140.7544424
122,140.6898391
123,140.6252357
124,140.5606323
125,140.496029
126,140.4314256
127,140.3668223
128,140.3022189
129,140.2376156
130,140.1730122
131,140.1084088
132,140.0438055
133,139.9792021
134,139.9145988
135,139.8499954
136,139.7853921
137,139.7207887
138,139.6561853
139,139.591582
140,139.5269786
