Day,Weight (kg)
0,3.2893
1,3.2432497
2,3.1971994
3,3.1511491
4,3.1050988
5,3.059049
6,3.1050993
7,3.1511496
8,3.1971999
9,3.2432502
10,3.2893
11,3.34129
12,3.39328
13,3.44527
14,3.49726
15,3.54925
16,3.60124
17,3.65323
18,3.70522
19,3.75721
20,3.8092
21,3.86119
22,3.91318
23,3.96517
24,4.01716
25,4.06915
26,4.12114
27,4.17313
28,4.22512
29,4.27711
30,4.3291
31,4.363058165
32,4.39701633
33,4.430974495
34,4.46493266
35,4.498890825
36,4.53284899
37,4.566807155
38,4.60076532
39,4.634723485
40,4.66868165
41,4.702639815
42,4.73659798
43,4.770556145
44,4.80451431
45,4.838472475
46,4.87243064
47,4.906388805
48,4.94034697
49,4.974305135
50,5.0082633
51,5.042221465
52,5.07617963
53,5.110137795
54,5.14409596
55,5.178054125
56,5.21201229
57,5.245970455
58,5.27992862
59,5.313886785
60,5.34785
61,5.373288335
62,5.39872667
63,5.424165005
64,5.44960334
65,5.475041675
66,5.50048001
67,5.525918345
68,5.55135668
69,5.576795015
70,5.60223335
71,5.627671685
72,5.65311002
73,5.678548355
74,5.70398669
75,5.729425025
76,5.75486336
77,5.780301695
78,5.80574003
79,5.831178365
80,5.8566167
81,5.882055035
82,5.90749337
83,5.932931705
84,5.95837004
85,5.983808375
86,6.00924671
87,6.034685045
88,6.06012338
89,6.085561715
90,6.111
91,6.131066667
92,6.151133333
93,6.1712
94,6.191266667
95,6.211333333
96,6.2314
97,6.251466667
98,6.271533333
99,6.2916
100,6.311666667
101,6.331733333
102,6.3518
103,6.371866667
104,6.391933333
105,6.412
106,6.432066667
107,6.452133333
108,6.4722
109,6.492266667
110,6.512333333
111,6.5324
112,6.552466667
113,6.572533333
114,6.5926
115,6.612666667
116,6.632733333
117,6.6528
118,6.672866667
119,6.692933333
120,6.713
121,6.729383333
122,6.745766667
123,6.76215
124,6.778533333
125,6.794916667
126,6.8113
127,6.827683333
128,6.844066667
129,6.86045
130,6.876833333
131,6.893216667
132,6.9096
133,6.925983333
134,6.942366667
135,6.95875
136,6.975133333
137,6.991516667
138,7.0079
139,7.024283333
140,7.040666667
141,7.05705
142,7.073433333
143,7.089816667
144,7.1062
145,7.122583333
146,7.138966667
147,7.15535
148,7.171733333
149,7.188116667
150,7.2045
151,7.2182
152,7.2319
153,7.2456
154,7.2593
155,7.273
156,7.2867
157,7.3004
158,7.3141
159,7.3278
160,7.3415
161,7.3552
162,7.3689
163,7.3826
164,7.3963
165,7.41
166,7.4237
167,7.4374
168,7.4511
169,7.4648
170,7.4785
171,7.4922
172,7.5059
173,7.5196
174,7.5333
175,7.547
176,7.5607
177,7.5744
178,7.5881
179,7.6018
180,7.6155
181,7.627303333
182,7.639106667
183,7.65091
184,7.662713333
185,7.674516667
186,7.68632
187,7.698123333
188,7.709926667
189,7.72173
190,7.733533333
191,7.745336667
192,7.75714
193,7.768943333
194,7.780746667
195,7.79255
196,7.804353333
197,7.816156667
198,7.82796
199,7.839763333
200,7.851566667
201,7.86337
202,7.875173333
203,7.886976667
204,7.89878
205,7.910583333
206,7.922386667
207,7.93419
208,7.945993333
209,7.957796667
210,7.9696
211,7.98001
212,7.99042
213,8.00083
214,8.01124
215,8.02165
216,8.03206
217,8.04247
218,8.05288
219,8.06329
220,8.0737
221,8.08411
222,8.09452
223,8.10493
224,8.11534
225,8.12575
226,8.13616
227,8.14657
228,8.15698
229,8.16739
230,8.1778
231,8.18821
232,8.19862
233,8.20903
234,8.21944
235,8.22985
236,8.24026
237,8.25067
238,8.26108
239,8.27149
240,8.2819
241,8.291283333
242,8.300666667
243,8.31005
244,8.319433333
245,8.328816667
246,8.3382
247,8.347583333
248,8.356966667
249,8.36635
250,8.375733333
251,8.385116667
252,8.3945
253,8.403883333
254,8.413266667
255,8.42265
256,8.432033333
257,8.441416667
258,8.4508
259,8.460183333
260,8.469566667
261,8.47895
262,8.488333333
263,8.497716667
264,8.5071
265,8.516483333
266,8.525866667
267,8.53525
268,8.544633333
269,8.554016667
270,8.5634
271,8.572035
272,8.58067
273,8.589305
274,8.59794
275,8.606575
276,8.61521
277,8.623845
278,8.63248
279,8.641115
280,8.64975
281,8.658385
282,8.66702
283,8.675655
284,8.68429
285,8.692925
286,8.70156
287,8.710195
288,8.71883
289,8.727465
290,8.7361
291,8.744735
292,8.75337
293,8.762005
294,8.77064
295,8.779275
296,8.78791
297,8.796545
298,8.80518
299,8.813815
300,8.82245
301,8.830558333
302,8.838666667
303,8.846775
304,8.854883333
305,8.862991667
306,8.8711
307,8.879208333
308,8.887316667
309,8.895425
310,8.903533333
311,8.911641667
312,8.91975
313,8.927858333
314,8.935966667
315,8.944075
316,8.952183333
317,8.960291667
318,8.9684
319,8.976508333
320,8.984616667
321,8.992725
322,9.000833333
323,9.008941667
324,9.01705
325,9.025158333
326,9.033266667
327,9.041375
328,9.049483333
329,9.057591667
330,9.0657
331,9.072337143
332,9.078974286
333,9.085611429
334,9.092248571
335,9.098885714
336,9.105522857
337,9.11216
338,9.118797143
339,9.125434286
340,9.132071429
341,9.138708571
342,9.145345714
343,9.151982857
344,9.15862
345,9.165257143
346,9.171894286
347,9.178531429
348,9.185168571
349,9.191805714
350,9.198442857
351,9.20508
352,9.211717143
353,9.218354286
354,9.224991429
355,9.231628571
356,9.238265714
357,9.244902857
358,9.25154
359,9.258177143
360,9.264814286
361,9.271451429
362,9.278088571
363,9.284725714
364,9.291362857
365,9.298
366,9.30548
367,9.31296
368,9.32044
369,9.32792
370,9.3354
371,9.34288
372,9.35036
373,9.35784
374,9.36532
375,9.3728
376,9.38028
377,9.38776
378,9.39524
379,9.40272
380,9.4102
381,9.41768
382,9.42516
383,9.43264
384,9.44012
385,9.4476
386,9.45508
387,9.46256
388,9.47004
389,9.47752
390,9.485
391,9.49248
392,9.49996
393,9.50744
394,9.51492
395,9.5224
396,9.529691667
397,9.536983333
398,9.544275
399,9.551566667
400,9.558858333
401,9.56615
402,9.573441667
403,9.580733333
404,9.588025
405,9.595316667
406,9.602608333
407,9.6099
408,9.617191667
409,9.624483333
410,9.631775
411,9.639066667
412,9.646358333
413,9.65365
414,9.660941667
415,9.668233333
416,9.675525
417,9.682816667
418,9.690108333
419,9.6974
420,9.704691667
421,9.711983333
422,9.719275
423,9.726566667
424,9.733858333
425,9.74115
426,9.748305
427,9.75546
428,9.762615
429,9.76977
430,9.776925
431,9.78408
432,9.791235
433,9.79839
434,9.805545
435,9.8127
436,9.819855
437,9.82701
438,9.834165
439,9.84132
440,9.848475
441,9.85563
442,9.862785
443,9.86994
444,9.877095
445,9.88425
446,9.891405
447,9.89856
448,9.905715
449,9.91287
450,9.920025
451,9.92718
452,9.934335
453,9.94149
454,9.948645
455,9.9558
456,9.96286
457,9.96992
458,9.97698
459,9.98404
460,9.9911
461,9.99816
462,10.00522
463,10.01228
464,10.01934
465,10.0264
466,10.03346
467,10.04052
468,10.04758
469,10.05464
470,10.0617
471,10.06876
472,10.07582
473,10.08288
474,10.08994
475,10.097
476,10.10406
477,10.11112
478,10.11818
479,10.12524
480,10.1323
481,10.13936
482,10.14642
483,10.15348
484,10.16054
485,10.1676
486,10.17458833
487,10.18157667
488,10.188565
489,10.19555333
490,10.20254167
491,10.20953
492,10.21651833
493,10.22350667
494,10.230495
495,10.23748333
496,10.24447167
497,10.25146
498,10.25844833
499,10.26543667
500,10.272425
501,10.27941333
502,10.28640167
503,10.29339
504,10.30037833
505,10.30736667
506,10.314355
507,10.32134333
508,10.32833167
509,10.33532
510,10.34230833
511,10.34929667
512,10.356285
513,10.36327333
514,10.37026167
515,10.37725
516,10.384175
517,10.3911
518,10.398025
519,10.40495
520,10.411875
521,10.4188
522,10.425725
523,10.43265
524,10.439575
525,10.4465
526,10.453425
527,10.46035
528,10.467275
529,10.4742
530,10.481125
531,10.48805
532,10.494975
533,10.5019
534,10.508825
535,10.51575
536,10.522675
537,10.5296
538,10.536525
539,10.54345
540,10.550375
541,10.5573
542,10.564225
543,10.57115
544,10.578075
545,10.585
546,10.59187167
547,10.59874333
548,10.605615
549,10.61248667
550,10.61935833
551,10.62623
552,10.63310167
553,10.63997333
554,10.646845
555,10.65371667
556,10.66058833
557,10.66746
558,10.67433167
559,10.68120333
560,10.688075
561,10.69494667
562,10.70181833
563,10.70869
564,10.71556167
565,10.72243333
566,10.729305
567,10.73617667
568,10.74304833
569,10.74992
570,10.75679167
571,10.76366333
572,10.770535
573,10.77740667
574,10.78427833
575,10.79115
576,10.79798833
577,10.80482667
578,10.811665
579,10.81850333
