Day,Weight (kg)
0,3.16583
1,3.169065
2,3.1723
3,3.175535
4,3.17877
5,3.182005
6,3.18524
7,3.188475
8,3.19171
9,3.194945
10,3.19818
11,3.201415
12,3.20465
13,3.207885
14,3.21112
15,3.214355
16,3.21759
17,3.220825
18,3.22406
19,3.227295
20,3.23053
21,3.233765
22,3.237
23,3.256576316
24,3.276152632
25,3.295728947
26,3.315305263
27,3.334881579
28,3.354457895
29,3.374034211
30,3.393610526
31,3.413186842
32,3.432763158
33,3.452339474
34,3.471915789
35,3.491492105
36,3.511068421
37,3.530644737
38,3.550221053
39,3.569797368
40,3.589373684
41,3.60895
42,3.628526316
43,3.648102632
44,3.667678947
45,3.687255263
46,3.706831579
47,3.726407895
48,3.745984211
49,3.765560526
50,3.785136842
51,3.804713158
52,3.824289474
53,3.843865789
54,3.863442105
55,3.883018421
56,3.902594737
57,3.922171053
58,3.941747368
59,3.961323684
60,3.9809
61,4.000476316
62,4.020052632
63,4.039628947
64,4.059205263
65,4.078781579
66,4.098357895
67,4.117934211
68,4.137510526
69,4.157086842
70,4.176663158
71,4.196239474
72,4.215815789
73,4.235392105
74,4.254968421
75,4.274544737
76,4.294121053
77,4.313697368
78,4.333273684
79,4.35285
80,4.372426316
81,4.392002632
82,4.411578947
83,4.431155263
84,4.450731579
85,4.470307895
86,4.489884211
87,4.509460526
88,4.529036842
89,4.548613158
90,4.568189474
91,4.587765789
92,4.607342105
93,4.626918421
94,4.646494737
95,4.666071053
96,4.685647368
97,4.705223684
98,4.7248
99,4.744376316
100,4.763952632
101,4.783528947
102,4.803105263
103,4.822681579
104,4.842257895
105,4.861834211
106,4.881410526
107,4.900986842
108,4.920563158
109,4.940139474
110,4.959715789
111,4.979292105
112,4.998868421
113,5.018444737
114,5.038021053
115,5.057597368
116,5.077173684
117,5.09675
118,5.116326316
119,5.135902632
120,5.155478947
121,5.175055263
122,5.194631579
123,5.214207895
124,5.233784211
125,5.253360526
126,5.272936842
127,5.292513158
128,5.312089474
129,5.331665789
130,5.351242105
131,5.370818421
132,5.390394737
133,5.409971053
134,5.429547368
135,5.449123684
136,5.4687
137,5.481485185
138,5.49427037
139,5.507055556
140,5.519840741
141,5.532625926
142,5.545411111
143,5.558196296
144,5.570981481
145,5.583766667
146,5.596551852
147,5.609337037
148,5.622122222
149,5.634907407
150,5.647692593
151,5.660477778
152,5.673262963
153,5.686048148
154,5.698833333
155,5.711618519
156,5.724403704
157,5.737188889
158,5.749974074
159,5.762759259
160,5.775544444
161,5.78832963
162,5.801114815
163,5.8139
164,5.826685185
165,5.83947037
166,5.852255556
167,5.865040741
168,5.877825926
169,5.890611111
170,5.903396296
171,5.916181481
172,5.928966667
173,5.941751852
174,5.954537037
175,5.967322222
176,5.980107407
177,5.992892593
178,6.005677778
179,6.018462963
180,6.031248148
181,6.044033333
182,6.056818519
183,6.069603704
184,6.082388889
185,6.095174074
186,6.107959259
187,6.120744444
188,6.13352963
189,6.146314815
190,6.1591
191,6.171885185
192,6.18467037
193,6.197455556
194,6.210240741
195,6.223025926
196,6.235811111
197,6.248596296
198,6.261381481
199,6.274166667
200,6.286951852
201,6.299737037
202,6.312522222
203,6.325307407
204,6.338092593
205,6.350877778
206,6.363662963
207,6.376448148
208,6.389233333
209,6.402018519
210,6.414803704
211,6.427588889
212,6.440374074
213,6.453159259
214,6.465944444
215,6.47872963
216,6.491514815
217,6.5043
218,6.517085185
219,6.52987037
220,6.542655556
221,6.555440741
222,6.568225926
223,6.581011111
224,6.593796296
225,6.606581481
226,6.619366667
227,6.632151852
228,6.644937037
229,6.657722222
230,6.670507407
231,6.683292593
232,6.696077778
233,6.708862963
234,6.721648148
235,6.734433333
236,6.747218519
237,6.760003704
238,6.772788889
239,6.785574074
240,6.798359259
241,6.811144444
242,6.82392963
243,6.836714815
244,6.8495
245,6.862285185
246,6.87507037
247,6.887855556
248,6.900640741
249,6.913425926
250,6.926211111
251,6.938996296
252,6.951781481
253,6.964566667
254,6.977351852
255,6.990137037
256,7.002922222
257,7.015707407
258,7.028492593
259,7.041277778
260,7.054062963
261,7.066848148
262,7.079633333
263,7.092418519
264,7.105203704
265,7.117988889
266,7.130774074
267,7.143559259
268,7.156344444
269,7.16912963
270,7.181914815
271,7.1947
272,7.207485185
273,7.22027037
274,7.233055556
275,7.245840741
276,7.258625926
277,7.271411111
278,7.284196296
279,7.296981481
280,7.309766667
281,7.322551852
282,7.335337037
283,7.348122222
284,7.360907407
285,7.373692593
286,7.386477778
287,7.399262963
288,7.412048148
289,7.424833333
290,7.437618519
291,7.450403704
292,7.463188889
293,7.475974074
294,7.488759259
295,7.501544444
296,7.51432963
297,7.527114815
298,7.5399
299,7.552685185
300,7.56547037
301,7.578255556
302,7.591040741
303,7.603825926
304,7.616611111
305,7.629396296
306,7.642181481
307,7.654966667
308,7.667751852
309,7.680537037
310,7.693322222
311,7.706107407
312,7.718892593
313,7.731677778
314,7.744462963
315,7.757248148
316,7.770033333
317,7.782818519
318,7.795603704
319,7.808388889
320,7.821174074
321,7.833959259
322,7.846744444
323,7.85952963
324,7.872314815
325,7.8851
326,7.897885185
327,7.91067037
328,7.923455556
329,7.936240741
330,7.949025926
331,7.961811111
332,7.974596296
333,7.987381481
334,8.000166667
335,8.012951852
336,8.025737037
337,8.038522222
338,8.051307407
339,8.064092593
340,8.076877778
341,8.089662963
342,8.102448148
343,8.115233333
344,8.128018519
345,8.140803704
346,8.153588889
347,8.166374074
348,8.179159259
349,8.191944444
350,8.20472963
351,8.217514815
352,8.2303
353,8.243085185
354,8.25587037
355,8.268655556
356,8.281440741
357,8.294225926
358,8.307011111
359,8.319796296
360,8.332581481
361,8.345366667
362,8.358151852
363,8.370937037
364,8.383722222
365,8.396507407
366,8.409292593
367,8.422077778
368,8.434862963
369,8.447648148
370,8.460433333
371,8.473218519
372,8.486003704
373,8.498788889
374,8.511574074
375,8.524359259
376,8.537144444
377,8.54992963
378,8.562714815
379,8.5755
380,8.588285185
381,8.60107037
382,8.613855556
383,8.626640741
384,8.639425926
385,8.652211111
386,8.664996296
387,8.677781481
388,8.690566667
389,8.703351852
390,8.716137037
391,8.728922222
392,8.741707407
393,8.754492593
394,8.767277778
395,8.780062963
396,8.792848148
397,8.805633333
398,8.818418519
399,8.831203704
400,8.843988889
401,8.856774074
402,8.869559259
403,8.882344444
404,8.89512963
405,8.907914815
406,8.9207
407,8.933485185
408,8.94627037
409,8.959055556
410,8.971840741
411,8.984625926
412,8.997411111
413,9.010196296
414,9.022981481
415,9.035766667
416,9.048551852
417,9.061337037
418,9.074122222
419,9.086907407
420,9.099692593
421,9.112477778
422,9.125262963
423,9.138048148
424,9.150833333
425,9.163618519
426,9.176403704
427,9.189188889
428,9.201974074
429,9.214759259
430,9.227544444
431,9.24032963
432,9.253114815
433,9.2659
434,9.2659
435,9.2659
436,9.2659
437,9.2659
438,9.2659
439,9.2659
440,9.2659
441,9.2659
442,9.2659
443,9.2659
444,9.2659
445,9.2659
446,9.2659
447,9.2659
448,9.2659
449,9.2659
450,9.2659
451,9.2659
452,9.2659
453,9.2659
454,9.2659
455,9.2659
456,9.2659
457,9.2659
458,9.2659
459,9.2659
460,9.2659
461,9.2659
462,9.2659
463,9.2659
464,9.2659
465,9.2659
466,9.2659
467,9.2659
468,9.2659
469,9.2659
470,9.2659
471,9.2659
472,9.2659
473,9.2659
474,9.2659
475,9.2659
476,9.2659
477,9.2659
478,9.2659
479,9.2659
480,9.2659
481,9.2659
482,9.2659
483,9.2659
484,9.2659
485,9.2659
486,9.2659
487,9.2659
488,9.2659
489,9.2659
490,9.2659
491,9.2659
492,9.2659
493,9.2659
494,9.2659
495,9.2659
496,9.2659
497,9.2659
498,9.2659
499,9.2659
500,9.2659
501,9.2659
502,9.2659
503,9.2659
504,9.2659
505,9.2659
506,9.2659
507,9.2659
508,9.2659
509,9.2659
510,9.2659
511,9.2659
512,9.2659
513,9.2659
514,9.2659
515,9.2659
516,9.2659
517,9.2659
518,9.2659
519,9.2659
520,9.2659
521,9.2659
522,9.2659
523,9.2659
524,9.2659
525,9.2659
526,9.2659
527,9.2659
528,9.2659
529,9.2659
530,9.2659
531,9.2659
532,9.2659
533,9.2659
534,9.2659
535,9.2659
536,9.2659
537,9.2659
538,9.2659
539,9.2659
540,9.2659
541,9.2659
542,9.2659
543,9.2659
544,9.2659
545,9.2659
546,9.2659
547,9.2659
548,9.2659
549,9.2659
550,9.2659
551,9.2659
552,9.2659
553,9.2659
554,9.2659
555,9.2659
