Day,Weight (kg)
0,3.158389474
1,3.163994737
2,3.1696
3,3.175205263
4,3.180810526
5,3.186415789
6,3.192021053
7,3.197626316
8,3.203231579
9,3.208836842
10,3.214442105
11,3.220047368
12,3.225652632
13,3.231257895
14,3.236863158
15,3.242468421
16,3.248073684
17,3.253678947
18,3.259284211
19,3.264889474
20,3.270494737
21,3.2761
22,3.296226829
23,3.316353659
24,3.336480488
25,3.356607317
26,3.376734146
27,3.396860976
28,3.416987805
29,3.437114634
30,3.457241463
31,3.477368293
32,3.497495122
33,3.517621951
34,3.53774878
35,3.55787561
36,3.578002439
37,3.598129268
38,3.618256098
39,3.638382927
40,3.658509756
41,3.678636585
42,3.698763415
43,3.718890244
44,3.739017073
45,3.759143902
46,3.779270732
47,3.799397561
48,3.81952439
49,3.83965122
50,3.859778049
51,3.879904878
52,3.900031707
53,3.920158537
54,3.940285366
55,3.960412195
56,3.980539024
57,4.000665854
58,4.020792683
59,4.040919512
60,4.061046341
61,4.081173171
62,4.1013
63,4.121426829
64,4.141553659
65,4.161680488
66,4.181807317
67,4.201934146
68,4.222060976
69,4.242187805
70,4.262314634
71,4.282441463
72,4.302568293
73,4.322695122
74,4.342821951
75,4.36294878
76,4.38307561
77,4.403202439
78,4.423329268
79,4.443456098
80,4.463582927
81,4.483709756
82,4.503836585
83,4.523963415
84,4.544090244
85,4.564217073
86,4.584343902
87,4.604470732
88,4.624597561
89,4.64472439
90,4.66485122
91,4.684978049
92,4.705104878
93,4.725231707
94,4.745358537
95,4.765485366
96,4.785612195
97,4.805739024
98,4.825865854
99,4.845992683
100,4.866119512
101,4.886246341
102,4.906373171
103,4.9265
104,4.946626829
105,4.966753659
106,4.986880488
107,5.007007317
108,5.027134146
109,5.047260976
110,5.067387805
111,5.087514634
112,5.107641463
113,5.127768293
114,5.147895122
115,5.168021951
116,5.18814878
117,5.20827561
118,5.228402439
119,5.248529268
120,5.268656098
121,5.288782927
122,5.308909756
123,5.329036585
124,5.349163415
125,5.369290244
126,5.389417073
127,5.409543902
128,5.429670732
129,5.449797561
130,5.46992439
131,5.49005122
132,5.510178049
133,5.530304878
134,5.550431707
135,5.570558537
136,5.590685366
137,5.610812195
138,5.630939024
139,5.651065854
140,5.671192683
141,5.691319512
142,5.711446341
143,5.731573171
144,5.7517
145,5.763606969
146,5.775513937
147,5.787420906
148,5.799327875
149,5.811234843
150,5.823141812
151,5.83504878
152,5.846955749
153,5.858862718
154,5.870769686
155,5.882676655
156,5.894583624
157,5.906490592
158,5.918397561
159,5.93030453
160,5.942211498
161,5.954118467
162,5.966025436
163,5.977932404
164,5.989839373
165,6.001746341
166,6.01365331
167,6.025560279
168,6.037467247
169,6.049374216
170,6.061281185
171,6.073188153
172,6.085095122
173,6.097002091
174,6.108909059
175,6.120816028
176,6.132722997
177,6.144629965
178,6.156536934
179,6.168443902
180,6.180350871
181,6.19225784
182,6.204164808
183,6.216071777
184,6.227978746
185,6.239885714
186,6.251792683
187,6.263699652
188,6.27560662
189,6.287513589
190,6.299420557
191,6.311327526
192,6.323234495
193,6.335141463
194,6.347048432
195,6.358955401
196,6.370862369
197,6.382769338
198,6.394676307
199,6.406583275
200,6.418490244
201,6.430397213
202,6.442304181
203,6.45421115
204,6.466118118
205,6.478025087
206,6.489932056
207,6.501839024
208,6.513745993
209,6.525652962
210,6.53755993
211,6.549466899
212,6.561373868
213,6.573280836
214,6.585187805
215,6.597094774
216,6.609001742
217,6.620908711
218,6.632815679
219,6.644722648
220,6.656629617
221,6.668536585
222,6.680443554
223,6.692350523
224,6.704257491
225,6.71616446
226,6.728071429
227,6.739978397
228,6.751885366
229,6.763792334
230,6.775699303
231,6.787606272
232,6.79951324
233,6.811420209
234,6.823327178
235,6.835234146
236,6.847141115
237,6.859048084
238,6.870955052
239,6.882862021
240,6.89476899
241,6.906675958
242,6.918582927
243,6.930489895
244,6.942396864
245,6.954303833
246,6.966210801
247,6.97811777
248,6.990024739
249,7.001931707
250,7.013838676
251,7.025745645
252,7.037652613
253,7.049559582
254,7.061466551
255,7.073373519
256,7.085280488
257,7.097187456
258,7.109094425
259,7.121001394
260,7.132908362
261,7.144815331
262,7.1567223
263,7.168629268
264,7.180536237
265,7.192443206
266,7.204350174
267,7.216257143
268,7.228164111
269,7.24007108
270,7.251978049
271,7.263885017
272,7.275791986
273,7.287698955
274,7.299605923
275,7.311512892
276,7.323419861
277,7.335326829
278,7.347233798
279,7.359140767
280,7.371047735
281,7.382954704
282,7.394861672
283,7.406768641
284,7.41867561
285,7.430582578
286,7.442489547
287,7.454396516
288,7.466303484
289,7.478210453
290,7.490117422
291,7.50202439
292,7.513931359
293,7.525838328
294,7.537745296
295,7.549652265
296,7.561559233
297,7.573466202
298,7.585373171
299,7.597280139
300,7.609187108
301,7.621094077
302,7.633001045
303,7.644908014
304,7.656814983
305,7.668721951
306,7.68062892
307,7.692535889
308,7.704442857
309,7.716349826
310,7.728256794
311,7.740163763
312,7.752070732
313,7.7639777
314,7.775884669
315,7.787791638
316,7.799698606
317,7.811605575
318,7.823512544
319,7.835419512
320,7.847326481
321,7.859233449
322,7.871140418
323,7.883047387
324,7.894954355
325,7.906861324
326,7.918768293
327,7.930675261
328,7.94258223
329,7.954489199
330,7.966396167
331,7.978303136
332,7.990210105
333,8.002117073
334,8.014024042
335,8.02593101
336,8.037837979
337,8.049744948
338,8.061651916
339,8.073558885
340,8.085465854
341,8.097372822
342,8.109279791
343,8.12118676
344,8.133093728
345,8.145000697
346,8.156907666
347,8.168814634
348,8.180721603
349,8.192628571
350,8.20453554
351,8.216442509
352,8.228349477
353,8.240256446
354,8.252163415
355,8.264070383
356,8.275977352
357,8.287884321
358,8.299791289
359,8.311698258
360,8.323605226
361,8.335512195
362,8.347419164
363,8.359326132
364,8.371233101
365,8.38314007
366,8.395047038
367,8.406954007
368,8.418860976
369,8.430767944
370,8.442674913
371,8.454581882
372,8.46648885
373,8.478395819
374,8.490302787
375,8.502209756
376,8.514116725
377,8.526023693
378,8.537930662
379,8.549837631
380,8.561744599
381,8.573651568
382,8.585558537
383,8.597465505
384,8.609372474
385,8.621279443
386,8.633186411
387,8.64509338
388,8.657000348
389,8.668907317
390,8.680814286
391,8.692721254
392,8.704628223
393,8.716535192
394,8.72844216
395,8.740349129
396,8.752256098
397,8.764163066
398,8.776070035
399,8.787977003
400,8.799883972
401,8.811790941
402,8.823697909
403,8.835604878
404,8.847511847
405,8.859418815
406,8.871325784
407,8.883232753
408,8.895139721
409,8.90704669
410,8.918953659
411,8.930860627
412,8.942767596
413,8.954674564
414,8.966581533
415,8.978488502
416,8.99039547
417,9.002302439
418,9.014209408
419,9.026116376
420,9.038023345
421,9.049930314
422,9.061837282
423,9.073744251
424,9.08565122
425,9.097558188
426,9.109465157
427,9.121372125
428,9.133279094
429,9.145186063
430,9.157093031
431,9.169
432,9.175384732
433,9.181769463
434,9.188154195
435,9.194538926
436,9.200923658
437,9.207308389
438,9.213693121
439,9.220077852
440,9.226462584
441,9.232847315
442,9.239232047
443,9.245616779
444,9.25200151
445,9.258386242
446,9.264770973
447,9.271155705
448,9.277540436
449,9.283925168
450,9.290309899
451,9.296694631
452,9.303079362
453,9.309464094
454,9.315848826
455,9.322233557
456,9.328618289
457,9.33500302
458,9.341387752
459,9.347772483
460,9.354157215
461,9.360541946
462,9.366926678
463,9.373311409
464,9.379696141
465,9.386080872
466,9.392465604
467,9.398850336
468,9.405235067
469,9.411619799
470,9.41800453
471,9.424389262
472,9.430773993
473,9.437158725
474,9.443543456
475,9.449928188
476,9.456312919
