BSA (m^2),"LVEDV, mean (mL)","LVEDV, +2 SD (mL)","LVEDV, -2 SD (mL)"
0.202113567,9.428348508,12.59410712,5.646441013
0.250038628,11.46107215,15.968461,7.784188328
0.296141512,14.08489458,20.31282388,9.863551894
0.343034466,16.84920291,24.28894975,11.97210734
0.389474987,19.75399714,28.32345938,14.32861633
0.435915175,22.77373436,32.38716088,16.65593344
0.482354712,25.92118604,36.47501156,19.05640763
0.527891219,29.05586628,40.63097662,21.66087017
0.573878344,32.39488963,44.76261511,24.2655101
0.619864401,35.77222732,49.16671109,26.92853377
0.665399023,39.25173657,53.42484771,29.73733943
0.710933119,42.71847438,57.84840495,32.57533697
0.756917944,46.24906941,62.26205418,35.5012649
0.801548554,49.89460744,66.76327903,38.49964036
0.847531977,53.54014548,71.32793033,41.64432996
0.892162015,57.19845496,75.88249624,44.77424625
0.936340313,60.97170744,80.50048859,47.93299964
0.981420215,64.74495993,85.23524844,51.20887529
1.026048607,68.54375531,90.01361872,54.5431347
1.07022545,72.40640791,94.76279712,57.98425359
1.114401647,76.30737485,99.56062865,61.56160123
1.158577684,80.19557034,104.5530727,65.01245075
1.202753649,84.14762305,109.4482105,68.52168402
1.246477468,88.15076155,114.391824,72.27904822
1.290652571,92.12835716,119.4572477,75.89045305
1.361869262,100.2240343,129.597471,79.57466018
1.404690631,104.29103,134.6090215,83.25886732
1.44886403,108.3707972,139.9128455,87.11840308
1.491684643,112.5144215,145.0071063,90.90478177
1.535406878,116.6708174,150.2572345,94.74972159
1.578227149,120.8399847,155.4001485,98.5798881
1.648990411,129.1527763,165.93915,102.4392465
1.692260946,133.4496581,171.2573926,106.269413
1.734630357,137.6826826,176.2687657,110.0703876
1.777900833,141.94125,181.5870083,113.9589379
1.821172028,146.1998174,186.8030793,117.7015287
1.892837579,154.7424951,197.0649354,121.6048523
1.964503837,163.4256586,207.0883912,125.3622165
2.008677787,167.7480833,212.134531,129.0464237
2.052401578,172.0577364,216.7961338,132.7890145
2.097478813,176.4312469,221.4141261,136.5027683
2.163743233,183.042953,229.5771321,140.0993998
