BSA (m^2),"LVESV, -2 SD (mL)"
0.207035996,2.371635303
0.256555123,2.815218205
0.311341741,3.29274565
0.362819642,3.809096115
0.41565594,4.437231168
0.468493208,5.090999437
0.519978315,5.797768079
0.571465638,6.56312693
0.622953516,7.343133333
0.674444166,8.196377497
0.725937587,9.122859421
0.777429899,10.02004624
0.828927755,11.06370858
0.880426165,12.12201848
0.931925129,13.19497592
0.980719077,14.35562467
1.032221921,15.53111499
1.083728646,16.80913816
1.132526474,18.07231978
1.18132541,19.3647965
1.232837678,20.7892952
1.281640495,22.18430478
1.330444974,23.62325703
1.379252226,25.13544703
1.428059477,26.64763703
1.476870054,28.24771235
1.525679522,29.81849256
1.574491208,31.44786298
1.623306774,33.17976627
1.669410672,34.82359023
1.718227346,36.58478862
1.765687355,38.27997602
1.813151245,40.07769629
1.860615134,41.87541656
1.908079023,43.67313682
1.954191235,45.53667407
2.001655217,47.33683559
2.04912234,49.21999991
2.095234552,51.08353716
2.14134621,52.93242686
2.190168428,54.84010077
