BSA (m^2),"LVESV, +2 SD (mL)"
0.205714182,3.226589157
0.254526977,4.885254681
0.300631983,6.558373751
0.349450875,8.378162349
0.39555699,10.08057652
0.444376436,11.91501267
0.490485877,13.70531216
0.537950875,15.53232753
0.58406318,17.39830604
0.631533074,19.35470812
0.677645841,21.23289292
0.723763042,23.22825814
0.769879689,25.2089758
0.815997445,27.21898857
0.859407412,29.24345488
0.905528494,31.34135297
0.950295959,33.4538016
0.99506564,35.62484043
1.039836801,37.83493941
1.084607776,40.04015587
1.128027167,42.31363057
1.171446558,44.58710527
1.213512794,46.88733682
1.256934864,49.23160802
1.299005258,51.6416962
1.341076483,54.07375571
1.383149001,56.53999285
1.425223921,59.06970271
1.46594541,61.61884563
1.506669485,64.2363438
1.544680691,66.73402629
1.585406706,69.40279089
1.626135955,72.15699954
1.664153628,74.82557014
1.702174535,77.57958479
1.740193501,80.282333
1.778216994,83.10470289
1.816240488,85.92707278
1.854265274,88.7836203
1.889579132,91.57161856
1.927604566,94.44525488
1.965631292,97.35306883
2.00094709,100.1923335
2.038972524,103.0659698
2.075643139,105.9224204
2.112315048,108.8130485
2.150339188,111.6525072
