BSA (m^2),"LVESV, mean (mL)"
0.21788634,2.820992617
0.261240734,3.376919765
0.30461545,4.469862794
0.347983764,5.393626595
0.391353614,6.357976322
0.434722979,7.309509441
0.478095496,8.344350512
0.521468499,9.392008192
0.564842229,10.45889078
0.608218384,11.58985642
0.651595266,12.74004696
0.694973604,13.92868733
0.738353154,15.14936922
0.781734402,16.41490924
0.825115892,17.68685756
0.868499808,19.02288892
0.911884208,20.37173689
0.955270306,21.76544299
0.998657617,23.19119061
1.042046382,24.65538806
1.085436603,26.15803533
1.128828036,27.69272411
1.172220682,29.25945442
1.21561454,30.85822625
1.259010096,32.50185621
1.302406864,34.17752769
1.34580533,35.8980573
1.389205009,37.65062842
1.432605657,39.42883277
1.476008731,41.27112015
1.519412774,43.13904075
1.562818031,45.03900287
1.606225469,46.99663973
1.649633878,48.9799098
1.693043985,51.008038
1.736456031,53.08743264
1.77986929,55.19886879
1.823284004,57.34875477
1.866700901,59.55631549
1.910119252,61.80232603
1.953538817,64.08037809
1.996961291,66.4353298
2.040384493,68.80950642
2.083810847,71.26699099
2.127237687,73.73729218
2.170666951,76.2716764
2.195091502,77.58071649
