BSA (m^2),"LVEDV, -2 SD (mL)"
0.220603946,-6.962769711
0.233228839,-5.818963787
0.274260925,-1.95236154
0.288464547,-0.587719184
0.322056691,2.57055879
0.340544852,4.461388194
0.376841454,7.75388547
0.38946724,9.010427188
0.428018643,12.55224667
0.442072487,13.96877414
0.483705174,17.81599926
0.497571564,19.26818537
0.533394613,22.50270441
0.545705281,23.79439942
0.588051698,27.68390366
0.60093991,28.88938782
0.637237455,32.30110928
0.653808167,33.87048266
0.693657157,37.69149281
0.703520663,38.62402154
0.744157784,42.39972853
0.757966082,43.62805689
0.799788148,47.68293804
0.813203587,49.08639517
0.84916105,52.22555468
0.862124536,53.45375922
0.904996614,57.3433405
0.916044295,58.45771752
0.953391543,61.66520876
0.968647025,63.09813331
1.011571704,66.99226417
1.02861553,68.56404116
1.062702801,71.65971547
1.075168615,72.62896056
1.113569521,76.13182768
1.154863651,79.89912628
1.175378802,81.71981547
1.22272265,86.0718088
1.273221659,90.57566019
1.287950223,91.84954212
1.326486454,95.84635727
1.338451749,96.67132468
1.378502985,99.95382865
1.389211791,100.9481209
1.431557489,104.7467877
1.453580812,107.36159
1.470486483,108.5563083
1.494470897,110.3652164
1.539745109,114.4595338
1.553070472,115.5515354
