BSA (m^2),"LVESV, -2 SD (mL)"
0.220216775,-5.730096114
0.234367693,-5.255046842
0.275711375,-3.784962759
0.28819472,-3.305614079
0.330838739,-1.785785654
0.342801496,-1.33354671
0.378682971,-0.08500986
0.392724681,0.421578035
0.44030777,2.095276463
0.488204911,3.812285729
0.501154803,4.284480675
0.537819709,5.614249622
0.551080254,6.075665415
0.586701718,7.315154896
0.601005705,7.866850154
0.643561165,9.353612793
0.655869093,9.793874899
0.695392983,11.2051349
0.707354608,11.63934385
0.750665283,13.15152837
0.761697408,13.53925886
0.803300818,15.01388281
0.814477879,15.34882966
0.849067797,16.68735465
0.909385178,18.70520915
0.918482154,18.96777705
0.959711934,20.39470406
0.97256551,20.86765969
1.012082603,22.17073971
1.029243633,22.77304533
1.068687245,24.08639109
1.082282089,24.55943921
1.117120689,25.72671159
1.131419861,26.20177936
1.169641149,27.52723503
1.188356254,28.08849557
1.225797368,29.38455538
1.238276606,29.79854532
1.269205392,30.86670847
1.285745915,31.43101846
1.29599728,31.78001613
1.330939997,32.95271046
1.345290548,33.4196712
1.383874094,34.72984669
1.397391251,35.14621986
1.439511041,36.58098499
1.454331893,37.10054856
1.489951657,38.31299305
1.503991102,38.78352095
1.542471097,40.09728948
1.555988707,40.52087465
