BSA (m^2),"LVESV, +2 SD (mL)"
0.226415274,12.69719001
0.238639176,13.17650632
0.274631598,14.42119347
0.289342393,14.95877317
0.327683975,16.42912662
0.340050141,16.81316001
0.384519333,18.477455
0.396220947,18.90261658
0.430430682,20.0891282
0.445363534,20.62158422
0.487486884,22.11301505
0.498406847,22.48527739
0.538973273,23.97239286
0.552701837,24.45009391
0.590196285,25.76914844
0.605276338,26.28488082
0.643501874,27.67794897
0.656606186,28.13033035
0.696200017,29.55361898
0.709025701,29.97591583
0.747139237,31.35609154
0.76103237,31.85750951
0.801512304,33.14783119
0.814062088,33.50484271
0.85366836,35.04747337
0.866595576,35.51271112
0.910275248,36.99886277
0.919634358,37.30428429
0.957462514,38.56658641
0.973713182,39.13204694
1.018848998,40.67021612
1.032728811,41.0776196
1.066495969,42.29884787
1.080310767,42.73328803
1.121539091,44.13703361
1.132569516,44.49771911
1.155519108,45.28828756
1.175729024,45.96352228
1.186907218,46.31649913
1.225908255,47.6645894
1.237085315,47.99953625
1.27483037,49.17798918
1.291295845,49.85886759
1.334329879,51.39226706
1.343948009,51.6909597
1.387368661,53.18384024
1.397766822,53.50967498
1.436247838,54.83967052
1.452210341,55.36092195
1.493259207,56.73991848
1.503060955,57.01158924
1.546743175,58.53830839
1.556881467,58.85734952
