BSA (m^2),"LVESV, mean (mL)"
0.223316025,3.625888725
0.236503434,4.109516737
0.275171486,5.524064641
0.288768556,6.020214371
0.329261357,7.493904052
0.341425819,7.935483888
0.381601152,9.390164952
0.394472814,9.855019444
0.435369226,11.32808959
0.466784222,12.45562887
0.494320843,13.44109765
0.518113278,14.29041285
0.545026763,15.24872805
0.569701778,16.12508785
0.595600995,17.04261173
0.624418752,18.06074322
0.649685484,18.95100198
0.675999585,19.87576551
0.701777313,20.77930603
0.729845492,21.76045873
0.754418323,22.61714184
0.782166594,23.58196466
0.807995091,24.47759035
0.831564943,25.2928379
0.881526769,27.01445377
0.892538865,27.39272885
0.934993591,28.8470741
0.946099934,29.22648593
0.984772558,30.54420739
1.001478408,31.11180343
1.043768122,32.54422481
1.05750545,33.00817028
1.091808329,34.16375586
1.105865314,34.63610217
1.14559012,35.96716936
1.160462885,36.46407911
1.190658238,37.47052256
1.207002815,38.01396052
1.228056305,38.71257282
1.255827085,39.63168696
1.266541298,39.98556063
1.302885184,41.18291982
1.318293196,41.68913178
1.359101987,43.02580185
1.37066963,43.40362308
1.413439851,44.79647268
1.426049358,45.2058782
1.463099748,46.40557882
1.478100722,46.8899341
1.517865152,48.17000963
1.529524831,48.54429222
